name,type,token,Location,make,model,plant,building,area,templow,temphigh,humlow,humhigh,timeout
GCW/MN/005-I16-00,RHT Sensors,IOTGW01_167,RM Hot Spot(CBI028),Radix,HAWKEYE RTC,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GCW/MN/004-I07-00,RHT Sensors,IOTGW01_168,Staging Cold Spot(GCW/WH/039),Radix,HAWKEYE RTC,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GCW/MN/006-I07-00,RHT Sensors,IOTGW01_169,Staging Hot Spot(GCW/WH/035),Radix,HAWKEYE RTC,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GCW/MN/007-I16-00,RHT Sensors,IOTGW01_170,Sampling Booth(GCW/WH/001),Global,CR120,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GCW/MN/007-I17-00,RHT Sensors,IOTGW01_171,Sampling Booth(GCW/WH/007),Global,CR120,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GCW/MN/035-I15-00,RHT Sensors,IOTGW01_172,Module-F Cold spot(CAB047),Radix,HAWKEYE RTC,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GCW/MN/037-I15-00,RHT Sensors,IOTGW01_173,Module-F Hot spot(CAU065),Radix,HAWKEYE RTC,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GCW/MN/038-I18-00,RHT Sensors,IOTGW01_174,Raw material staging cold spot,Radix,HAWKEYE RTC,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GCW/MN/038-I17-00,RHT Sensors,IOTGW01_175,Raw material staging Hot spot,Radix,HAWKEYE RTC,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GCW/MN/039-I17-00,RHT Sensors,IOTGW01_176,Sampling Booth(GCW/WH/092),Radix,HAWKEYE,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GCW/MN/040-I17-00,RHT Sensors,IOTGW01_177,Sampling Booth(GCW/WH/093),Radix,HAWKEYE,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GGP/UT/001/AHU-052-I24-00,RHT Sensors,IOTGW01_178,1.6KL Blender,Radix,HAWKEYE,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GGP/UT/001/AHU-059-I16-00,RHT Sensors,IOTGW01_179,3.5KL Blender,Radix,HAWKEYE,Gagillapur,CWH Block,CWH 1st Floor,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GGP/UT/001/AHU-031-I10-01,RHT Sensors,IOTGW01_180,Excipient Dispensing Area,Radix,HAWKEYE,Gagillapur,CWH Block,Module-E,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GGP/UT/001/AHU-031-I18-00,RHT Sensors,IOTGW01_181,Excipient Staging Area,Radix,HAWKEYE,Gagillapur,CWH Block,Module-E,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GGP/UT/001/AHU-032-I10-01,RHT Sensors,IOTGW01_182,API Dispensing Area,Radix,HAWKEYE,Gagillapur,CWH Block,Module-E,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GGP/UT/001/AHU-032-I18-00,RHT Sensors,IOTGW01_183,API Staging Area,Radix,HAWKEYE,Gagillapur,CWH Block,Module-E,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GGP/UT/001/AHU-032-I11-01,RHT Sensors,IOTGW01_184,Granulation Area,Radix,HAWKEYE,Gagillapur,CWH Block,Module-E,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GGP/UT/001/AHU-032-I16-00,RHT Sensors,IOTGW01_185,Shifter Area,Radix,HAWKEYE,Gagillapur,CWH Block,Module-E,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
GGP/UT/001/AHU-033-I10-01,RHT Sensors,IOTGW01_186,Blender Area,Radix,HAWKEYE,Gagillapur,CWH Block,Module-E,Temp_low_limit,Temp_high_limit,Humid_low_limit,Humid_high_limit,Timeout
